2023,2024
650 - 1.000,650 - 1.000
1.000 - 1.450,1.000 - 1.450
1.300 - 1.800,1.300 - 1.800
1.800 - 2.400,1.800 - 2.400
,
,
,
,
,
,
750 - 1.000,700 - 1.000
1.000 - 1.400,1.000 - 1.500
1.400 - 1.600,1.500 - 2.000
1.600 - 2.200,2.000 - 2.500
,
800 - 1.100,750 - 1.100
1.300 - 1.700,1.300 - 1.700
1.600 - 1.9000,1.600 - 2.000
1.900 - 2.500,1.900 - 2.500
,
900 - 1.300,900 - 1.300
1.300 - 1.700,1.300 - 1.700
1.500 - 1.900,1.500 - 1.900
1.800 - 2.500,1.800 - 2.500
,
900 - 1.500,850 - 1.500
1.200 - 1.700,1.200 - 1.700
1.500 - 2.400,1.500 - 2.400
2.000 - 2.700,2.000 - 2.700
,
,
,
,
,
,
550 - 850,600 - 800
850 - 1.200,800 - 1.050
1.100 - 1.450,1.050 - 1300
1.450 - 1.750,1.400 - 1.600
,
900 - 1.400,850 - 1.400
1.300 - 1.700,1.300 - 1.700
1.500 - 2.200,1.500 - 2.200
2.000 - 2.600,2.000 - 2.600
,
550 - 850,600 - 900
850 - 1.200,900 - 1.250
1.100 - 1.450,1.250 - 1.500
1.450 - 1.750,1.450 - 1.750
,
650 - 1.000,750 - 1.150
1.000 - 1.500,1.300 - 1.600
1.500 - 2.000,1.600 - 2.000
1.800 - 2.400,1.900 - 2.500
,
650 - 950,650 - 1.000
950 - 1.300,900 - 1.300
1.300 - 1.600,1.300 - 1.700
1.700 - 2.000,1.700 - 1.900
